,battery_level,captive,code,id,location
130,96,False,,0e233080-e5e3-4cb4-a855-af6a550dd191,"{'latitude': 37.79972, 'longitude': -122.26522000000001}"
131,88,False,,9628c72a-8687-4fec-b8e6-46bbf2eaa093,"{'latitude': 37.799458333333334, 'longitude': -122.26557166666667}"
132,100,False,,f3184428-b07a-4eae-8749-133f79f71009,"{'latitude': 37.804359999999996, 'longitude': -122.26272499999999}"
133,55,False,,4c36c89b-e460-4a6e-b2c8-8dfe6165899a,"{'latitude': 37.79965166666667, 'longitude': -122.26523666666665}"
134,85,False,,60d57c30-5bd0-4532-8e05-e40a2aafdb3b,"{'latitude': 37.79969833333334, 'longitude': -122.26512833333332}"
135,97,False,,f7c79486-171e-4a38-b747-5a5d8750755f,"{'latitude': 37.799495, 'longitude': -122.26538833333333}"
136,78,False,,e8106077-ee22-4b67-8c3e-c59627f8ae36,"{'latitude': 37.79887, 'longitude': -122.26635}"
137,94,False,,7e8d2c9c-0306-4d0f-b5b1-7b1ddca6abfe,"{'latitude': 37.799645000000005, 'longitude': -122.26511333333335}"
138,39,False,,a9f61165-49a1-41d3-ac37-35ac45f2b0c9,"{'latitude': 37.79926666666667, 'longitude': -122.26558000000001}"
139,63,False,,9d856507-128c-4fc6-b996-a21e156bd60c,"{'latitude': 37.803905, 'longitude': -122.26258166666666}"
140,34,False,,30e9b1c7-0b5c-423c-9e09-933f2e01a498,"{'latitude': 37.80807166666667, 'longitude': -122.27842666666666}"
141,52,False,,b3006261-32c5-4209-8838-cbfb71cfe850,"{'latitude': 37.80430401678924, 'longitude': -122.2624243331349}"
142,59,False,,606c6f2c-7ef7-47b0-9e6c-314022695475,"{'latitude': 37.802261666666666, 'longitude': -122.26280166666666}"
143,95,False,,00019c96-9f6e-4fdf-b928-05749cf4469c,"{'latitude': 37.798561666666664, 'longitude': -122.26605166666668}"
144,54,False,,ee177015-7fe1-44c9-8990-c0750849ae1b,"{'latitude': 37.79768833333333, 'longitude': -122.27506333333334}"
145,80,False,,faba72ae-4592-4d7c-ac2d-72291912001a,"{'latitude': 37.797736666666665, 'longitude': -122.27520833333334}"
146,100,False,,14be1a5c-d2ae-4c6a-901a-348a5358b722,"{'latitude': 37.80020833333333, 'longitude': -122.26332166666667}"
147,98,False,,b73e7cf9-a01b-4fc8-aeda-32814afd9bd4,"{'latitude': 37.800235, 'longitude': -122.26328333333335}"
148,16,False,,c00f51a7-31be-4e5e-b611-5e2e8260442a,"{'latitude': 37.79808, 'longitude': -122.26603666666666}"
149,58,False,,66798752-7fdb-4ed1-b51f-6cc40460d5bd,"{'latitude': 37.80278833333333, 'longitude': -122.26181833333334}"
150,59,False,,6a424cc6-51e4-4c47-890b-ddb3ff6c3256,"{'latitude': 37.80273, 'longitude': -122.26178666666668}"
151,55,False,,77a593fb-55d7-46f6-af72-8f5e612ae2f1,"{'latitude': 37.80482833333333, 'longitude': -122.26131500000001}"
152,52,False,,2d7a3add-59e3-492f-b14c-1a4424f177c3,"{'latitude': 37.80478666666667, 'longitude': -122.26123833333334}"
153,33,False,,187a7408-90e6-471f-a1e7-ebfa6ba498a1,"{'latitude': 37.80101, 'longitude': -122.26219999999999}"
154,59,False,,d97a9b87-8cf3-4f9d-a92e-16b8e72974fc,"{'latitude': 37.796931666666666, 'longitude': -122.27425333333333}"
155,60,False,,74c652c7-093d-4b9b-8a0b-f62fd9214bb2,"{'latitude': 37.796931666666666, 'longitude': -122.27426833333332}"
156,27,False,,22038097-2fe2-4814-8a63-2661f6c70787,"{'latitude': 37.80787333333333, 'longitude': -122.28005166666665}"
157,32,False,,0066fda2-4979-42d4-8830-ba0a664cad06,"{'latitude': 37.80191, 'longitude': -122.26155166666668}"
158,61,False,,eaaf8500-904a-4ff0-bbe1-48258ec603cd,"{'latitude': 37.79684833333333, 'longitude': -122.27429166666667}"
159,57,False,,a7bd2d56-1750-4544-a177-66b3de6654f6,"{'latitude': 37.80276833333333, 'longitude': -122.26121499999999}"
160,88,False,,04da229c-6a88-448c-a0a4-1b45057b0a4c,"{'latitude': 37.802569999999996, 'longitude': -122.26126166666667}"
161,79,False,,acbfbee4-bee9-40be-8089-1b18f117e349,"{'latitude': 37.79828666666666, 'longitude': -122.27789333333334}"
162,62,False,,17ebc0e6-a602-495f-8092-cb17aa330a7f,"{'latitude': 37.79826666666667, 'longitude': -122.27792333333333}"
163,71,False,,04c2a46e-8ca0-47bc-b787-e81b25cef4b4,"{'latitude': 37.79683, 'longitude': -122.26715166666666}"
164,54,False,,010b300f-466f-47ad-8069-c4433072fbdc,"{'latitude': 37.79618833333333, 'longitude': -122.27245333333333}"
165,54,False,,c20ca021-52f0-40cc-bba7-5c354d658bf6,"{'latitude': 37.81153833333334, 'longitude': -122.265785}"
166,55,False,,53c76d70-27fd-4983-a871-813aff411a24,"{'latitude': 37.79617666666666, 'longitude': -122.27246166666667}"
167,75,False,,5e008d15-e207-4d80-8ee8-de74bd3e4b2a,"{'latitude': 37.799488333333336, 'longitude': -122.262535}"
168,99,False,,85eda535-4fcf-403c-8f64-d22fd5c3d7ce,"{'latitude': 37.796611666666664, 'longitude': -122.26702833333333}"
169,53,False,,7e5a93bb-0e6e-46d6-a505-43168f51d6c7,"{'latitude': 37.797286666666665, 'longitude': -122.27702333333333}"
170,56,False,,f07843a9-2635-4d5d-8477-aa7e0804d1b8,"{'latitude': 37.79729, 'longitude': -122.27703833333335}"
171,100,False,,a02d9a0d-f465-42a8-97e0-3ff0d62b6a59,"{'latitude': 37.81187833333333, 'longitude': -122.27630666666667}"
172,96,False,,9beed690-732f-48d8-a0c4-305fc31ecade,"{'latitude': 37.797108333333334, 'longitude': -122.26543500000001}"
173,96,False,,2837e64e-1f4f-415b-9a3d-1e1c19c91224,"{'latitude': 37.797345, 'longitude': -122.27744333333334}"
174,43,False,,1f7adc27-68d3-4b47-ba2b-c5b6f5bab265,"{'latitude': 37.796425, 'longitude': -122.27607000000002}"
175,84,False,,7ab600d7-68a6-495b-a747-2f43d90c5390,"{'latitude': 37.812266666666666, 'longitude': -122.276345}"
176,71,False,,1c45a9e5-880e-4a43-92f3-78b553f6138c,"{'latitude': 37.79544833333333, 'longitude': -122.27215499999998}"
177,53,False,,cfe8bef0-d85a-47af-95b6-5163625da8bb,"{'latitude': 37.796295, 'longitude': -122.27618333333334}"
178,26,False,,f22415ce-3e66-4d4c-9d26-13ac9eab0075,"{'latitude': 37.80614166666667, 'longitude': -122.25956}"
179,77,False,,ec2230f0-d45c-4699-8064-804899c283df,"{'latitude': 37.80819666666666, 'longitude': -122.28183666666668}"
180,99,False,,b58a3b54-f36e-4617-a47e-c44d8d9c35a2,"{'latitude': 37.79559666666667, 'longitude': -122.27517666666667}"
181,44,False,,c918562b-cbcb-42be-b8d5-0249c94aa110,"{'latitude': 37.79638666666666, 'longitude': -122.27729833333333}"
182,96,False,,cc9f4901-b074-41ed-ada8-8576cdbe1fa1,"{'latitude': 37.79527333333333, 'longitude': -122.27398}"
183,82,False,,605f7536-3db9-4a95-aba4-211a30112157,"{'latitude': 37.79525833333333, 'longitude': -122.27398}"
184,71,False,,6f6bab4b-8efc-4e97-9ff8-43d65e767f5f,"{'latitude': 37.79656166666667, 'longitude': -122.277885}"
185,91,False,,9d0600a0-36ad-427f-8ca9-97766c6212c9,"{'latitude': 37.795845, 'longitude': -122.27649666666666}"
186,83,False,,77cdabb9-1f2f-4b8d-b052-bbaf40210d14,"{'latitude': 37.79586833333334, 'longitude': -122.27655833333334}"
187,100,False,,de682205-0874-49a4-b1ae-89d895646137,"{'latitude': 37.813006666666666, 'longitude': -122.26582333333333}"
188,68,False,,bdcecab6-df1b-4f0b-9700-9f4866e12032,"{'latitude': 37.79891600370202, 'longitude': -122.2609065381086}"
189,52,False,,6f95370a-c492-4f03-9748-c9b854193821,"{'latitude': 37.79427, 'longitude': -122.27136166666666}"
190,44,False,,dd791c03-dd4d-40cc-95a4-c95a4dfd0f58,"{'latitude': 37.79558166666666, 'longitude': -122.26458666666667}"
191,71,False,,9175354c-b767-40f1-9c4f-eee7ac976bbe,"{'latitude': 37.81049333333333, 'longitude': -122.26068833333332}"
192,48,False,,b0ad8202-1ed2-403e-a92d-9bdc73bfd889,"{'latitude': 37.79584166666667, 'longitude': -122.27823666666667}"
193,63,False,,7b999b5f-6bc0-4ba2-bac1-8ba8321071bf,"{'latitude': 37.81044833333333, 'longitude': -122.26061999999999}"
194,25,False,,165c9f20-47e4-47ff-ba21-4222ddc3088e,"{'latitude': 37.79517, 'longitude': -122.27680166666666}"
195,41,False,,4b23ba1d-cd18-4c20-b5fb-26cc20e1e7c0,"{'latitude': 37.794235, 'longitude': -122.26919500000001}"
196,49,False,,5baaa536-653a-4222-8e6a-f0448113b020,"{'latitude': 37.795155, 'longitude': -122.27681666666668}"
197,37,False,,c6dcfb20-d2fb-4f9c-be8d-55ef34ddd055,"{'latitude': 37.795134999999995, 'longitude': -122.276795}"
198,47,False,,b8321eec-5230-4566-9b37-37f333488eae,"{'latitude': 37.79513166666666, 'longitude': -122.27680166666666}"
199,99,False,,6b2c4e5a-4c6b-4425-b6d8-d2edeb345386,"{'latitude': 37.795089999999995, 'longitude': -122.27670333333332}"
200,99,False,,32236c65-224d-4b6e-a248-03394ee9a784,"{'latitude': 37.795105, 'longitude': -122.27675666666667}"
201,61,False,,0d324fa7-2ca5-4e0a-a2fb-a0bd9309fee0,"{'latitude': 37.794711666666664, 'longitude': -122.27570333333333}"
202,53,False,,9f5da775-30e8-4b94-bf78-ba472ab6dea6,"{'latitude': 37.79405166666666, 'longitude': -122.27146833333333}"
203,61,False,,d4ad9419-c77e-49d0-b00b-d96946c1929a,"{'latitude': 37.79403666666666, 'longitude': -122.27143833333334}"
204,78,False,,68ff8855-7cce-4228-a7d4-2bb9c2c53398,"{'latitude': 37.79401333333333, 'longitude': -122.27143166666669}"
205,53,False,,a49dff89-8fe2-4033-8668-d9e6fa21d7a1,"{'latitude': 37.793975, 'longitude': -122.27157666666666}"
206,74,False,,66a6082d-6e47-4b62-8313-5d6131e7b450,"{'latitude': 37.79687833333333, 'longitude': -122.28028833333335}"
207,76,False,,6fd2339e-7ae2-4edc-aaff-dc3be64f3cf1,"{'latitude': 37.809895, 'longitude': -122.259735}"
208,59,False,,be154082-1c78-4774-a254-fe29c37093b2,"{'latitude': 37.79382333333333, 'longitude': -122.27054666666666}"
209,42,False,,aa2749a8-7b2f-4eb6-9586-3a01e502e0f4,"{'latitude': 37.813, 'longitude': -122.26322166666665}"
210,47,False,,dfd54856-6bd7-447b-badb-ed4eda80f51a,"{'latitude': 37.794383333333336, 'longitude': -122.27636}"
